time,value
4260.0,782.624255774452
4264.0,758.8516645598087
4268.0,734.0436473723182
4272.0,708.3388287622982
4276.0,681.8898364572741
4280.0,654.8622465407304
4284.0,627.4333350720237
4288.0,599.7906469481235
4292.0,572.1303952561781
4296.0,544.6557066799451
4300.0,517.5747306960625
4304.0,491.0986323134485
4308.0,465.43948995016876
4312.0,440.8081216854121
4316.0,417.41186454981704
4320.0,395.4523327030629
4324.0,375.1231812645202
4328.0,356.60790317766043
4332.0,340.07768677112546
4336.0,325.6893616036417
4340.0,313.5834597253183
4344.0,303.88241863672715
4348.0,296.68895096710037
4352.0,292.08460421775004
4356.0,290.12853182592727
4360.0,290.8564943043255
4364.0,294.28010632004504
4368.0,300.38634232705164
4372.0,309.13730980818536
4376.0,320.470295384624
4380.0,334.2980850989079
4384.0,350.5095561784405
4388.0,368.9705336662389
4392.0,389.52490160312675
4396.0,411.99595508648616
4400.0,436.1879765985524
4404.0,461.8880175261455
4408.0,488.86786379244404
4412.0,516.8861629916961
4416.0,545.6906893380843
4420.0,575.0207220465286
4424.0,604.6095123662765
4428.0,634.186814302796
4432.0,663.4814540207176
4436.0,692.2239129623529
4440.0,720.1488997916027
4444.0,746.997886337956
4448.0,772.52158273452
4452.0,796.4823268966493
4456.0,818.6563633985148
4460.0,838.8359868078968
4464.0,856.8315249005963
4468.0,872.4731381857524
4472.0,885.6124139793358
4476.0,896.1237358135122
4480.0,903.9054120990679
4484.0,908.8805514901176
4488.0,910.9976761797014
4492.0,910.2310682294194
4496.0,906.5808478531818
4500.0,900.0727862228338
4504.0,890.7578588031788
4508.0,878.7115484578129
4512.0,864.0329105773486
4516.0,846.8434151977672
4520.0,827.2855833841809
4524.0,805.5214369459763
4528.0,781.7307817903102
4532.0,756.1093459785814
4536.0,728.8667939446648
4540.0,700.2246384733801
4544.0,670.4140719938578
4548.0,639.6737385604974
4552.0,608.2474676192955
4556.0,576.3819903426063
4560.0,544.324659005222
4564.0,512.321189585334
4568.0,480.6134474911032
4572.0,449.43729599767204
4576.0,419.0205265811941
4580.0,389.58088982285057
4584.0,361.3242449192553
4588.0,334.4428450790641
4592.0,309.11377521405336
4596.0,285.49755735222533
4600.0,263.73693810905917
4604.0,243.95587133942263
4608.0,226.2587077256144
4612.0,210.72960144818606
4616.0,197.4321420802022
4620.0,186.40921728915947
4624.0,177.68310876854537
4628.0,171.25582012961047
4632.0,167.10963142780759
4636.0,165.20787076817933
4640.0,165.49588922342693
4644.0,167.90222130574497
4648.0,172.33990966051468
4652.0,178.70796971170424
4656.0,186.8929679198522
4660.0,196.77068630818286
4664.0,208.20784599896106
4668.0,221.0638634727341
4672.0,235.19261477175087
4676.0,250.4441846165061
4680.0,266.66657922971353
4684.0,283.7073835088666
4688.0,301.41534504291036
4692.0,319.6418693233898
4696.0,338.24241235829527
4700.0,357.07775877742006
4704.0,376.01517542604245
4708.0,394.92943233155313
4712.0,413.70368471342533
4716.0,432.2302113282045
4720.0,450.4110058984891
4724.0,468.15821974596713
4728.0,485.39445515604245
4732.0,502.0529105447705
4736.0,518.077380206443
4740.0,533.4221132574608
4744.0,548.051538297476
4748.0,561.9398622189832
4752.0,575.0705534533787
4756.0,587.435721686857
4760.0,599.0354076450501
4764.0,609.8767978525734
4768.0,619.9733802561146
4772.0,629.3440572338864
4776.0,638.012232837078
4780.0,646.0048911964446
4784.0,653.351682937179
4788.0,660.0840361820622
4792.0,666.2343082550389
4796.0,671.83499347431
4800.0,676.9180013695975
4804.0,681.5140181799383
4808.0,685.6519625117381
4812.0,689.3585435455474
4816.0,692.657927257238
4820.0,695.5715129545063
4824.0,698.1178192542591
4828.0,700.3124756281469
4832.0,702.1683129420841
4836.0,703.6955440937483
4840.0,704.9020239690262
4844.0,705.7935765079736
4848.0,706.3743756644957
4852.0,706.6473664332414
4856.0,706.6147118833371
4860.0,706.2782522420591
4864.0,705.6399624597942
4868.0,704.7023953339292
4872.0,703.469098171481
4876.0,701.9449921204289
4880.0,700.1367046758613
4884.0,698.0528474426113
4888.0,695.7042329784849
4892.0,693.1040264005176
4896.0,690.2678293431986
4900.0,687.2136957490361
4904.0,683.9620808012303
4908.0,680.535726036068
4912.0,676.9594852611547
4916.0,673.2600973201303
4920.0,669.4659129519405
4924.0,665.6065839661109
4928.0,661.7127236800947
4932.0,657.8155480245096
4936.0,653.9465068820936
4940.0,650.1369150469106
4944.0,646.4175916605337
4948.0,642.8185161290029
4952.0,639.3685074029995
4956.0,636.0949321930979
